	001_V2	010_V2	015_V2	017_V2	024_V2	028_V2	034_V2	040_V2	042_V2	043_V2
ENSG00000106635	47.68034307	71.25949634	46.22641449	51.8212566	72.62824446	62.20425428	60.51220532	63.42777124	56.88476103	61.05121728
ENSG00000106636	64.46408762	101.7774819	63.66210426	74.49102064	82.30759059	90.23572926	77.30211507	76.20770035	79.7661383	77.00330953
ENSG00000106638	28.58842147	36.96491004	26.94301194	26.08977155	23.00502129	26.59975986	26.69252998	23.90829815	23.93302831	27.24328513
ENSG00000106665	16.28913518	9.536870495	15.11765009	8.859448017	8.486002091	9.004734569	6.064926581	13.80232344	19.05719165	17.9543096
ENSG00000106682	128.0378784	128.3662769	121.4787172	93.05677567	113.8980593	113.3315547	89.46623335	117.1821192	133.3684734	125.6473439
ENSG00000106683	14.97017687	10.41426258	10.88470806	9.282877517	10.93898707	8.929381142	10.55365755	8.218477489	13.92640928	14.44222344
ENSG00000106686	2.538994755	1.220719423	3.695425577	0.846859002	2.088352077	0.866564415	0.479711707	1.336977199	2.103302089	1.706808225
ENSG00000106688	11.9695467	13.38976618	9.540916945	8.208018015	9.646197689	11.22766068	3.597837802	9.8307147	8.285735501	10.66755141
ENSG00000106692	27.10459336	20.48519782	21.63503702	17.49089553	24.06577155	21.40037337	15.21371414	19.42549225	25.5583072	22.18850692
ENSG00000106701	7.584010308	6.904694238	6.181439147	5.56972651	7.524697167	6.329687898	5.071238045	6.88150029	6.947270535	6.334884373
ENSG00000106714	3.462265575	2.250701437	3.896994245	2.898863505	3.679477469	3.089490522	1.096483902	3.421088715	5.449464502	3.709025566
ENSG00000106723	91.99734243	93.42318337	88.11910263	77.87845665	74.28566674	90.00966898	87.75297725	96.93084694	103.603562	96.82854353
ENSG00000106733	41.74503065	44.51811147	65.17386927	32.05035606	47.99894933	49.65790863	51.5690085	46.44029624	40.15394897	44.83653914
ENSG00000106771	116.2991494	122.3008272	125.0733584	111.9482457	116.0527083	93.28754306	100.7394585	119.8953965	123.4255907	143.3390677
ENSG00000106772	8.968916538	75.22683446	69.10445829	49.05267909	5.005415296	16.23866359	13.26060219	22.02080093	29.95612066	11.29119287
ENSG00000106780	66.17873343	158.3120502	73.13583165	41.33323358	36.62903246	131.0772869	134.4563384	50.33325926	39.48471648	41.78397828
ENSG00000106785	14.93720291	4.463255392	8.633857939	8.012589015	8.618595874	7.912109872	11.17042975	4.24686875	14.59564177	13.91705168
ENSG00000106789	4.550406185	0.801097122	3.460262131	1.042288002	4.773376176	2.298279534	2.878270242	1.140362905	4.652759166	3.971611447
ENSG00000106799	47.4165514	49.13395679	49.24994451	40.55151758	46.63986305	52.74739915	54.13889264	46.59758768	52.86936614	55.33997437
ENSG00000106803	52.23074925	77.74456828	45.82327716	73.02530314	70.37415015	74.67524651	93.54378286	67.24208855	57.13970674	51.69659528
ENSG00000106804	19.7184268	5.302499995	19.61935034	10.55316602	12.6295578	10.54947983	9.936885359	11.75753478	13.09783573	13.52317286
ENSG00000106809	64.26624387	45.81512586	46.39438838	74.71902114	21.87797414	54.36749784	116.0902331	39.28353594	122.7244901	73.29428397
ENSG00000106819	45.00945248	17.28080934	18.611507	21.00861754	23.80058399	21.89017065	39.30209485	15.96508067	41.55615036	33.51252303
ENSG00000106823	260.6591369	337.3763306	302.5881652	280.7011875	316.2030232	304.4278465	244.4816449	260.2386795	314.0293755	319.5670169
ENSG00000106829	12.33226024	5.836564743	11.01908718	7.361159014	8.055072297	9.080087996	8.53201536	8.611706077	12.17365754	11.71789493
ENSG00000106852	26.64295795	5.493237405	21.09752057	8.696590516	17.07144952	10.21038941	9.148787554	11.04972332	21.47917588	22.02439075
ENSG00000106853	66.11278551	79.61379489	92.1168812	102.8933687	79.62256649	102.8951051	93.71510847	130.1586626	74.73096057	79.79328452
ENSG00000106868	6.396947825	9.880197833	5.711112256	7.068015513	8.883783439	7.309282453	6.818759263	8.965611806	5.226387008	7.746283483
ENSG00000106948	58.89148874	38.03303953	39.8098119	28.36977655	45.148183	31.00793536	21.55276169	38.49707876	52.64628864	49.92414058
ENSG00000106952	3.759031196	0.991834531	2.418824014	1.400574503	2.452984979	2.599693244	1.404869999	1.769528646	3.792317402	2.855621453
ENSG00000106976	79.07155095	28.45802156	33.62837275	47.58696159	35.50198531	17.85876228	43.96215143	28.27313548	92.64089654	48.08603941
ENSG00000106991	226.7948822	157.6253955	223.3044892	159.1117778	128.4833754	126.6314347	103.4806682	179.1942675	148.9201615	239.5111465
ENSG00000106992	8.177541549	7.438758986	7.558825044	6.612014512	5.933571775	5.199386487	7.880978043	5.701814526	7.234084457	8.107339069
ENSG00000106993	34.12804639	33.37904673	45.89046671	22.37662054	30.56286691	24.00006661	22.06673852	24.8127239	31.61326776	27.99821954
ENSG00000107020	14.21177584	20.59964027	13.40431641	22.44176354	18.56312957	21.55108022	25.28765998	26.3463154	18.89785058	16.1818549
ENSG00000107021	44.77863477	54.85607909	51.0976573	37.52236807	46.70615995	46.79447839	34.81336388	45.02467332	50.12869978	54.58503996
