	052_V2	054V_2	063_V2	070_V2	072_V2	078_V2	085_V2	092_V2	099_V2	100_V2
ENSG00000133027	277.4771224	175.2874861	81.78753628	193.8198043	83.24548499	89.86257837	64.61900683	67.15286444	59.53355374	160.8856227
ENSG00000133028	62.39246174	38.38460578	12.00835093	49.17589398	12.51145159	16.17392187	12.6930192	14.10658529	47.59780223	50.50423551
ENSG00000133030	241.5591238	206.4334724	31.79288327	247.6628549	12.21590549	19.49595147	18.29772897	12.14063086	199.0453548	217.0264916
ENSG00000133048	20.4175749	18.29577663	0.997828587	25.53655605	1.510568958	1.308678326	1.087973074	1.207165	37.98531136	444.5854354
ENSG00000133056	93.91433176	74.77693098	72.222145	92.20480121	100.1244512	104.929157	119.1165672	102.4710633	84.76997237	69.18564916
ENSG00000133059	24.22755299	30.08343671	0.722565529	26.02983277	0.131353822	0.335558545	0.230782167	0.172452143	25.14929636	28.1509578
ENSG00000133063	7.001241792	4.250198564	0.653749764	5.198377681	0.492576834	0.570449527	0.461564335	0.758789429	18.03431067	32.1449152
ENSG00000133065	63.92296576	34.26722592	100.1269376	57.52365376	133.6525144	166.8732645	152.415137	186.2828048	41.35403928	39.842946
ENSG00000133067	0.781533968	0.697298202	130.2682425	0.417387989	158.8724483	80.56760667	258.574934	109.0932256	0.406570611	0.57976801
ENSG00000133069	2.995880209	3.951356477	43.2163002	2.921715923	38.61802381	46.1728558	41.47485234	57.63350615	2.904075792	2.383490707
ENSG00000133083	22.85986855	129.1329861	192.0647991	42.87712978	202.8759788	193.5166129	209.8469278	272.2329528	59.64971677	67.83285713
ENSG00000133103	30.38213299	29.35293383	21.71137375	31.03848864	76.02102476	21.91197299	18.19882233	35.59412229	34.58754268	26.37944444
ENSG00000133104	99.31994171	83.7089889	67.81793606	91.78741322	84.1978002	84.29230653	78.9275012	110.817747	98.85473996	86.54648011
ENSG00000133106	9.86686634	16.27029138	30.5541995	12.93902766	22.98691893	26.07289895	28.35323769	29.00645043	37.81106681	18.77804165
ENSG00000133107	1.791015342	0.298842087	5.505261172	0.265610538	27.94552573	28.58958804	2.011101743	140.03114	6.998822659	0.611977344
ENSG00000133110	147.9704312	318.3332315	31.89610691	213.6267616	35.30133979	37.68322461	33.16669432	52.90831744	191.2333909	218.0571903
ENSG00000133111	6.480219147	9.19769533	0.412894588	6.829985275	0.52541529	0.402670254	0.758284264	0.310413857	6.621292806	6.216401437
ENSG00000133112	711.5541135	875.2088574	4.232169526	926.5254469	2.758430272	3.590476432	2.505634959	3.621495001	727.9646788	694.4976569
